380   1.167e-03   4.406e-01   5.945e-19   1.00E+00	1.00E+00	1.00E+00
383   1.379e-03   4.280e-01   6.014e-19   1.00E+00	1.00E+00	1.00E+00
385   1.389e-03   4.156e-01   6.039e-19   1.00E+00	1.00E+00	1.00E+00
388   1.257e-03   4.051e-01   6.130e-19   1.00E+00	1.00E+00	1.00E+00
390   1.196e-03   3.955e-01   6.227e-19   1.00E+00	1.00E+00	1.00E+00
393   1.256e-03   3.857e-01   6.193e-19   1.00E+00	1.00E+00	1.00E+00
395   1.271e-03   3.747e-01   6.157e-19   1.00E+00	1.00E+00	1.00E+00
398   1.082e-03   3.647e-01   6.328e-19   1.00E+00	1.00E+00	1.00E+00
400   9.418e-04   3.564e-01   6.342e-19   1.00E+00	1.00E+00	1.00E+00
403   9.296e-04   3.486e-01   6.155e-19   1.00E+00	1.00E+00	1.00E+00
405   9.759e-04   3.400e-01   6.015e-19   1.00E+00	1.00E+00	1.00E+00
408   1.065e-03   3.314e-01   6.101e-19   1.00E+00	1.00E+00	1.00E+00
410   1.143e-03   3.233e-01   6.226e-19   1.00E+00	1.00E+00	1.00E+00
413   1.158e-03   3.155e-01   6.161e-19   1.00E+00	1.00E+00	1.00E+00
415   1.218e-03   3.079e-01   5.856e-19   1.00E+00	1.00E+00	1.00E+00
418   1.325e-03   3.004e-01   5.698e-19   1.00E+00	1.00E+00	1.00E+00
420   1.448e-03   2.932e-01   5.927e-19   1.00E+00	1.00E+00	1.00E+00
422   1.774e-03   2.863e-01   6.054e-19   1.00E+00	1.00E+00	1.00E+00
425   2.153e-03   2.796e-01   5.793e-19   1.00E+00	1.00E+00	1.00E+00
427   2.242e-03   2.732e-01   5.468e-19   1.00E+00	1.00E+00	1.00E+00
430   2.290e-03   2.664e-01   5.331e-19   1.00E+00	1.00E+00	1.00E+00
432   2.492e-03   2.597e-01   5.452e-19   1.00E+00	1.00E+00	1.00E+00
435   2.644e-03   2.539e-01   5.549e-19   1.00E+00	1.00E+00	1.00E+00
437   3.023e-03   2.482e-01   5.355e-19   1.00E+00	1.00E+00	1.00E+00
440   3.903e-03   2.424e-01   4.968e-19   1.00E+00	1.00E+00	1.00E+00
442   4.600e-03   2.368e-01   4.726e-19   1.00E+00	1.00E+00	1.00E+00
445   4.590e-03   2.315e-01   4.945e-19   1.00E+00	1.00E+00	1.00E+00
447   4.547e-03   2.261e-01   5.107e-19   1.00E+00	1.00E+00	1.00E+00
450   4.968e-03   2.211e-01   4.798e-19   1.00E+00	1.00E+00	1.00E+00
452   5.368e-03   2.162e-01   4.441e-19   1.00E+00	1.00E+00	1.00E+00
455   5.945e-03   2.114e-01   4.252e-19   1.00E+00	1.00E+00	1.00E+00
457   7.420e-03   2.067e-01   4.263e-19   1.00E+00	1.00E+00	1.00E+00
460   9.301e-03   2.022e-01   4.351e-19   1.00E+00	1.00E+00	1.00E+00
462   1.011e-02   1.977e-01   4.326e-19   1.00E+00	1.00E+00	1.00E+00
465   9.683e-03   1.935e-01   4.061e-19   1.00E+00	1.00E+00	1.00E+00
467   9.647e-03   1.893e-01   3.691e-19   1.00E+00	1.00E+00	1.00E+00
470   1.043e-02   1.852e-01   3.441e-19   1.00E+00	1.00E+00	1.00E+00
472   1.115e-02   1.812e-01   3.582e-19   1.00E+00	1.00E+00	1.00E+00
475   1.242e-02   1.774e-01   3.801e-19   1.00E+00	1.00E+00	1.00E+00
477   1.528e-02   1.736e-01   3.580e-19   1.00E+00	1.00E+00	1.00E+00
480   1.895e-02   1.700e-01   3.338e-19   1.00E+00	1.00E+00	1.00E+00
482   2.122e-02   1.665e-01   3.022e-19   1.00E+00	1.00E+00	1.00E+00
485   2.114e-02   1.631e-01   2.725e-19   1.00E+00	1.00E+00	1.00E+00
487   2.040e-02   1.595e-01   2.939e-19   1.00E+00	1.00E+00	1.00E+00
490   2.101e-02   1.562e-01   3.044e-19   1.00E+00	1.00E+00	1.00E+00
492   2.224e-02   1.530e-01   2.853e-19   1.00E+00	1.00E+00	1.00E+00
495   2.354e-02   1.499e-01   2.822e-19   1.00E+00	1.00E+00	1.00E+00
497   2.613e-02   1.469e-01   2.498e-19   1.00E+00	1.00E+00	1.00E+00
